Word - Frequency
baseurlhttpssworgimagescoreemoji1200172x72extpngsvgurlhttpssworgimagescoreemoji12001svgsvgextsvgsourceconcatemojihttpstechcrunchcomwpincludesjswpemojireleaseminjsver541thi - 1
file - 2
autogener - 1
functioneatvar - 1
rnoipacreateelementcanvasspgetcontextpgetcontext2dfunct - 1
cetvar - 1
astringfromcharcodesclearrect00pwidthpheightsfilltextaapplythise00var - 1
rptodataurlreturn - 1
sclearrect00pwidthpheightsfilltextaapplythist00rptodataurlfunct - 1
leifssfilltextreturn1switchstextbaselinetopsfont600 - 1
32px - 1
arialecaseflagreturnc127987650398205989565039127987650398203989565039c55356568265535656819553565682682035535656819c55356573325612856423561285641856128564215612856430561285642356128564475535657332820356128564238203561285641882035612856421820356128564308203561285642382035612856447caseemojireturnc55357564245535657342820555358566058205553575642455356573405535756424553565734282035535856605820355357564245535657340return1funct - 1
devar - 1
tacreateelementscripttsrcetdeferttypetextjavascriptagetelementsbytagnamehead0appendchildtforiarrayflagemojitsupportseverything0everythingexceptflag0o0oilengthotsupportsioliotsupportseverythingtsupportseverythingtsupportsioflagiotsupportseverythingexceptflagtsupportseverythingexceptflagtsupportsiotsupportseverythingexceptflagtsupportseverythingexceptflagtsupportsflagtdomready1treadycallbackfunctiontdomready0tsupportseverythingnfunctiontreadycallbackaaddeventlisteneraaddeventlistenerdomcontentloadedn1eaddeventlistenerloadn1eattacheventonloadnaattacheventonreadystatechangefunctioncompleteareadystatetreadycallbackrtsourceconcatemojidrconcatemojirwpemojirtwemojidrtwemojidrwpemojiwindowdocumentwindow_wpemojiset - 1
imgwpsmiley - 1
imgemoji - 1
display - 3
inlin - 1
import - 10
border - 1
none - 3
boxshadow - 1
height - 1
1em - 2
width - 1
margin - 1
0 - 2
07em - 1
verticalalign - 1
01em - 1
background - 2
pad - 1
imgwpstatsdisplaynon - 1
contexthttpschemaorgtypenewsarticlemainentityofpagetypewebpageidhttptechcrunchcom20200506volvotouseluminarslidarinproductionvehiclestounlockautomateddrivingonhighwaysheadlinevolvo - 1
luminar039 - 1
highwaysurlhttptechcrunchcom20200506volvotouseluminarslidarinproductionvehiclestounlockautomateddrivingonhighwaysthumbnailurlhttpstechcrunchcomwpcontentuploads202005luminar_highway_perception_to_250mpngw150imagetypeimageobjecturlhttpstechcrunchcomwpcontentuploads202005luminar_highway_perception_to_250mpngw150datecreated20200506t142339zdatepublished20200506t142339zdatemodified20200506t142339zarticlesectionpostauthortypepersonnamekirsten - 1
koroseccreatorkirsten - 1
koroseckeywordspostid1984465automotivetcaustin - 1
russellautomot - 1
industryctodriveririslaserlidarluminartechcrunchtechnologyteslavolvovolvo - 1
carszenuitypublishertypeorganizationnametechcrunchlogotypeimageobjecturlhttpstechcrunchcomwpcontentthemestechcrunch2017imageslogojsonldpngwidth600height60 - 1
var - 3
ajaxurl - 1
httpstechcrunchcomwpadminadminajaxphp - 1
tryadsenablesandboxcatch - 1
start - 9
2022 - 2
xc90 - 1
kirsten - 1
korosec - 1
8 - 1
hour - 1
car - 12
produc - 4
2020 - 4
equip - 6
percept - 10
stack - 6
â - 4
technolog - 21
develop - 17
silicon - 5
valley - 5
startup - 36
automak - 12
deploy - 7
system - 10
highwaysfor - 3
part - 12
hardwar - 11
packag - 10
consum - 7
add - 4
option - 2
secondgener - 4
xc90volvo - 2
combin - 3
camera - 2
radar - 4
softwar - 12
backup - 2
function - 2
steer - 3
brake - 2
batteri - 2
power - 3
enabl - 3
pilot - 4
featurevolvo - 1
known - 3
make - 10
advanc - 5
safeti - 2
featur - 6
standard - 5
see - 8
bigger - 2
opportun - 3
partnership - 2
luminarth - 2
swedish - 2
said - 14
help - 4
improv - 9
driver - 9
assist - 4
may - 11
lead - 11
scalabl - 2
architectur - 2
spa2 - 2
come - 6
featureluminar - 1
didnt - 1
reveal - 2
much - 4
might - 7
costluminar - 2
previous - 10
iri - 6
unit - 7
cost - 4
less - 5
1000 - 2
per - 4
seek - 2
full - 7
autonomi - 6
500 - 2
version - 3
limit - 3
purpos - 2
like - 11
assistanceth - 1
announc - 6
mileston - 3
whiz - 2
founder - 10
austin - 1
russel - 4
burst - 11
onto - 2
autonom - 12
scene - 2
april - 11
2017 - 1
oper - 10
year - 15
secrecyit - 2
also - 22
first - 6
light - 5
detect - 2
rang - 4
measur - 4
distanc - 4
laser - 2
gener - 5
highli - 2
accur - 3
3d - 2
map - 2
world - 9
around - 13
carluminar - 1
sensor - 5
describ - 2
size - 2
realli - 5
thick - 2
sandwich - 2
onethird - 2
smaller - 2
previou - 3
iter - 2
integr - 2
roofth - 2
tuck - 2
away - 2
placement - 2
departur - 2
bucket - 2
style - 2
spin - 4
becom - 8
synonym - 2
developmentimag - 1
credit - 1
ship - 1
proper - 2
doesnt - 1
mean - 5
custom - 3
abl - 6
let - 3
take - 13
get - 13
goth - 2
zenuiti - 1
still - 8
underway - 2
cto - 2
henrik - 2
green - 6
saidth - 1
activ - 8
wirelessli - 2
verifi - 2
safe - 13
individu - 2
geograph - 4
locationsvolvo - 2
continu - 10
expand - 8
capabl - 2
push - 5
maximum - 3
speed - 2
travel - 2
autonomouslythi - 2
firstcontinu - 2
updat - 9
strategi - 5
similar - 4
tesla - 1
sold - 2
time - 19
allow - 4
socal - 2
selfdriv - 1
soon - 2
determin - 2
saidat - 1
point - 11
respons - 5
relax - 2
eye - 2
road - 2
hand - 5
wheelov - 2
air - 2
area - 4
itselffor - 2
us - 8
introduct - 5
gradual - 2
turn - 4
consid - 2
mani - 4
tech - 19
compani - 37
essenti - 2
piec - 2
roll - 2
vehiclesin - 2
past - 3
18 - 2
month - 9
timelin - 2
commerci - 2
robotaxi - 2
fleet - 2
back - 13
nearer - 2
term - 3
vehiclesit - 1
isol - 2
problem - 4
solv - 4
lot - 4
solvabl - 2
way - 10
tri - 8
inner - 2
citi - 3
lo - 2
angel - 2
san - 4
francisco - 3
saidbi - 1
narrow - 2
case - 4
particular - 2
bring - 9
person - 5
timefram - 2
talk - 7
ada - 2
asid - 2
pursuit - 2
fulli - 4
darl - 2
againit - 1
prompt - 3
pivot - 2
within - 2
industri - 4
particularli - 3
companiesdozen - 2
grappl - 2
supplier - 2
choic - 4
driverless - 2
hawk - 2
ware - 2
regular - 7
old - 2
passeng - 2
truck - 2
suvssom - 2
well - 15
effort - 2
diversifi - 2
busi - 19
offer - 5
appeal - 2
automakersth - 1
deepen - 2
collabor - 2
ensur - 2
valid - 6
seri - 10
productionvolvo - 2
sign - 3
agreement - 4
possibl - 1
increas - 3
minor - 2
stake - 2
luminarluminar - 1
built - 5
scratch - 3
lengthi - 2
process - 10
say - 12
result - 8
simpler - 2
design - 2
better - 5
performanceth - 2
made - 6
leap - 2
forward - 2
2018 - 2
perform - 2
cheaper - 2
assembl - 3
minut - 4
rather - 4
hoursluminar - 2
acquir - 3
black - 3
forest - 2
engin - 7
qualiti - 2
along - 2
efficiencyand - 2
open - 3
136000squarefoot - 2
manufactur - 2
center - 2
orlando - 2
florida - 2
mass - 2
manufacturingth - 1
attract - 2
investorsluminar - 2
last - 10
rais - 7
100 - 2
million - 8
total - 7
250 - 2
millionth - 2
unveil - 2
platform - 7
compact - 2
go - 7
volvothi - 1
kind - 3
holi - 2
grail - 2
weve - 1
work - 29
toward - 4
entir - 2
cours - 4
saidconfigur - 1
pars - 2
window - 1
global - 3
disabl - 1
autotrackingmust - 1
load - 1
script - 1
itselfwindowpars - 1
autotrack - 1
fals - 1
onload - 1
thisonload - 1
functionwdtruwuwuwupushprojectid10000propertiespixelid428726qstr - 1
et - 1
customea - 1
page - 2
viewproduct_id - 1
windowlocationpathnamesit - 1
sdcreateelementtssrcrsasynctruesonloadsonreadystatechangefunctionvar - 1
yrsthisreadystatecwuifrsrscompletersloadedreturntryyyahooywai13nfirebeaconwuwupushfunctionpypyccatchevar - 1
scrdgetelementsbytagnamet0parscrparentnodeparinsertbeforesscrwindowdocumentscripthttpssyimgcomwiytcjsdotq - 1
contexthttpschemaorgpublishertypeorganizationnametechcrunchlogotypeimageobjecturlhttpstechcrunchcomwpcontentthemestechcrunch2017imageslogojsonldpngwidth600height60typenewsarticlemainentityofpagetypewebpageidhttpstechcrunchcom20200506volvotouseluminarslidarinproductionvehiclestounlockautomateddrivingonhighwaysheadlinevolvo - 1
luminar8217 - 3
highwaysimagetypeimageobjecturlhttpstechcrunchcomwpcontentuploads202005luminar_highway_perception_to_250mpngw680width680height308datepublished20200506t1423390000datemodified20200506t1455040000authortypepersonnamekirsten - 1
korosecdescriptionvolvo - 1
u2014 - 15
hellipspeakabletypespeakablespecificationcssselectoralphaspeakablesummari - 1
trytypekitload - 1
async - 2
true - 3
catch - 1
tc_app_data - 1
adsadpagehttpstechcrunchcomwpcontentthemestechcrunch2017featuresads_uacadpagehtmlgemini_enabledtruegemini_codesposition_4mobileae64471c14c244578e9ba5190206eafddesktopb2018d9ededc4e858823b06917beb892position_8mobile619392a1b4974aa9b68324aab7246c16desktop05c0b21de742494dac59474e3feaa4b8mnswhereplacementsnative93501877mobile_native93501878leaderboard93484975rightrail93484976rightrail_on_view93484977mobile_300x25093484973mobile_dynamic93484974amp93523784inline_leaderboard93484932inline_mobile_300x25093484930inline_amp963874680wherepost_typetcmediagalleryplacementsleaderboard93484953wherepost_typetc_sponsored_postplacementsleaderboard963872468leaderboard_on_view963872469rightrail963872467rightrail_on_view963872467mobile_320x50963872466mobile_dynamic963872466wheretaxonomycategorytermsenterpriseplacementsmobile_300x25093484901mobile_dynamic93484902leaderboard93484903rightrail93484904rightrail_on_view93484905amp93523756wheretaxonomycategorytermsenterprisepost_typetcmediagalleryplacementsleaderboard93512990wheretaxonomycategorytermsgadgetsplacementsmobile_300x25093484912mobile_dynamic93484913leaderboard93484914rightrail93484915rightrail_on_view93484916amp93523764wheretaxonomycategorytermsgadgetspost_typetcmediagalleryplacementsleaderboard93513296wheretaxonomycategorytermsmobileplacementsmobile_native93484962mobile_300x25093484960mobile_dynamic93484961leaderboard93484957rightrail93484958rightrail_on_view93484959amp93523763wheretaxonomycategorytermsmobilepost_typetcmediagalleryplacementsleaderboard963891131wheretaxonomycategorytermsappsplacementsmobile_300x250963891138mobile_dynamic963891134leaderboard963891132rightrail963891133rightrail_on_view963891136amp963891137wherepost_typetc_marketingplacementsmobile_dynamic93484859leaderboard93484860rightrail93484862wheretaxonomypost_tagtermsappleplacementsmobile_300x25093484869mobile_dynamic93484870leaderboard93484866rightrail93484867rightrail_on_view93484868wheretaxonomypost_tagtermscesplacementsgallery_300x250963853166mobile_300x25093484876mobile_dynamic93484877leaderboard93484878rightrail93484879rightrail_on_view93484880wheretaxonomypost_tagtermscespost_typetcmediagalleryplacementsleaderboard963853167wheretaxonomypost_tagtermsdisruptplacementsmobile_300x25093484895mobile_dynamic93484896leaderboard93484897rightrail93484898rightrail_on_view93484899amp93523765wheretaxonomypost_tagtermsgiftguide2019placementsgallery_300x25093518231mobile_300x25093484930mobile_dynamic93484931leaderboard93484932rightrail93484933rightrail_on_view93484934whereurlpagesgiftguide2019placementsgallery_300x25093518231mobile_300x25093484930mobile_dynamic93484931leaderboard93484932rightrail93484933rightrail_on_view93484934wheretaxonomycategorytermstc_videoplacementsleaderboard963874666rightrail963874667rightrail_on_view963874668mobile_320x5093485001mobile_300x25093485000mobile_dynamic93484943amp93523757wheretaxonomycategorytermsdeveloperplacementsgallery_300x25093510995mobile_300x25093484890mobile_dynamic93484891leaderboard93484892rightrail93484893rightrail_on_view93484894amp93523761wheretaxonomycategorytermsdeveloperpost_typetcmediagalleryplacementsleaderboard93510992wheretaxonomypost_tagtermslgnokiahuaweisonyamazonmicrosoftverizonplacementsmobile_300x250963902096mobile_dynamic963902097amp963902094leaderboard963902098rightrail963902099rightrail_on_view963902100wheretaxonomypost_tagterms5g5gplacementsmobile_300x250963898333mobile_dynamic963898334amp963898332leaderboard963898335rightrail963898336rightrail_on_view963898337wheretaxonomypost_tagtermssamsungplacementsmobile_300x250963902105mobile_dynamic963902106amp963902103leaderboard963902107rightrail963902108rightrail_on_view963902109wheretaxonomypost_tagtermstmobiletmobileplacementsmobile_300x250963898333mobile_dynamic963898334amp963898332leaderboard963898335rightrail963898336rightrail_on_view963898337wheretaxonomypost_tagtermsiphoneplacementsmobile_300x250963898333mobile_dynamic963898334amp963898332leaderboard963898335rightrail963898336rightrail_on_view963898337wheretaxonomycategorytermsstartupsplacementsgallery_300x25093511985mobile_300x25093484986mobile_dynamic93484987leaderboard93484988rightrail93484989rightrail_on_view93484990amp93523762wheretaxonomycategorytermsstartupspost_typetcmediagalleryplacementsleaderboard93511984whereurlvideoplacementsleaderboard963874666rightrail963874667rightrail_on_view963874668mobile_320x5093485001mobile_300x25093485000mobile_dynamic93484943amp93523757whereurlsponsoreposwhywhatisthemostexpensivewordinbusinesshowoutdatedtechcanaffectremoteworkingproductivityplacementsmobile_dynamic93484859leaderboard93484860rightrail93484862whereurlpagedplacementsnative93484857leaderboard93484945rightrail93484946rightrail_on_view93484947amp93523758mobile_native93484858mobile_300x25093484942mobile_dynamic93484943asseturihttpstechcrunchcomwpcontentthemestechcrunch2017breakingec_promoenabledfalsetitleextra - 1
crunchdescexclus - 1
articl - 1
confer - 1
call - 4
banner - 1
ad - 7
moreurlsubscribetpccrightrailmay19button_texttri - 1
freelive_event0livestream_hashnullfeature_islandshomepageid1984549date20200506t053303date_gmt20200506t123303guidrenderedhttpstechcrunchcomp1984549modified20200506t053303modified_gmt20200506t123303slugroelofbothaextracrunchlivestatuspublishtypepostlinkhttpstechcrunchcom20200506roelofbothaextracrunchlivetitlerenderedextra - 1
crunch - 6
live - 13
join - 11
roelof - 2
botha - 5
q038a - 1
today - 3
2pm - 1
et11am - 1
ptcontentrenderedp - 1
idspeakablesummaryspan - 7
classfeatured__spanfirstwordssequoia8217 - 1
hrefhttpswwwsequoiacapcompeopleroelofbotharoelof - 1
bothaspana - 1
run - 5
firm8217 - 2
portfolio - 5
that8217 - 2
impressivepnpit - 1
includ - 16
23andm - 2
mongodb - 2
eventbrit - 2
evernot - 2
bird - 3
squar - 2
tumblr - 2
uniti - 2
youtub - 3
xoom - 2
name - 5
fewand - 2
perspect - 2
ecosystem - 3
whole - 2
uniqu - 2
sequoia - 2
invest - 21
earli - 7
stage - 4
follow - 3
later - 1
grow - 8
life - 2
cycl - 1
businesspnpwe8217r - 1
thrill - 1
absolut - 2
hrefhttpstechcrunchcom20200416announcingtheextracrunchliveeventseriesstack - 1
agenda - 1
speakersa - 1
upcom - 1
investor - 10
hrefhttpstechcrunchcom20200430extracrunchlivejoinhunterwalkforaqamay7that1pmet10ampthunt - 1
walka - 1
hrefhttpstechcrunchcom20200505kirstengreenextracrunchlivekirsten - 1
greena - 1
speaker - 1
hrefhttpstechcrunchcom20200501markcubanraisingmoneyisntanaccomplishmentitsanobligationmark - 1
cubana - 1
hrefhttpstechcrunchcom20200422cowboyvcsaileenleeyourcoronavirusscenarioplanningshouldbemoreconservativeaileen - 1
lee - 1
ted - 1
wanga - 1
hrefhttpstechcrunchcom20200424precursorventurescharleshudsonontheconversationnoonehasduringanupmarketcharl - 1
hudsona - 1
hrefhttpstechcrunchcom20200430freadakaporkleinwarnsofvulturecapitalistsduringthepandemicmitch - 1
freada - 1
kapora - 1
extra - 3
togeth - 1
top - 5
mind - 1
hrefhttpstechcrunchcomsubscribetpccroelofbothapostextra - 1
audienceapnpeven - 1
vc - 5
season - 1
accomplish - 1
coronaviru - 2
pandem - 7
repres - 1
swan - 1
scenario - 1
economi - 2
largeand - 1
firm - 4
felt - 2
comingpnpsequoia - 1
hrefhttpsmediumcomsequoiacapitalcoronavirustheblackswanof20207c72bdeb9753publish - 1
memo - 2
march - 3
5a - 1
warn - 1
drop - 2
suppli - 1
chain - 1
disrupt - 3
signific - 3
soften - 1
privat - 6
financingson - 1
line - 2
8220nobodi - 1
ever - 1
regret - 1
fast - 2
decis - 3
adjust - 2
chang - 9
circumstances8221pnpbut - 1
behow - 1
leader - 2
adapt - 1
plow - 1
throughwhat - 1
metric - 2
focu - 1
intern - 1
fundraisingpnpwe8217r - 1
chat - 2
predict - 3
econom - 3
recoveri - 1
sector - 1
he8217 - 2
bullish - 1
right - 3
evalu - 1
look - 12
postcovid - 1
worldful - 1
zoom - 4
detail - 4
belowpnpi8217m - 1
one - 6
ask - 5
question - 3
member - 4
shouldask - 1
callof - 1
sofolk - 1
interest - 3
hrefhttpstechcrunchcomsubscribetpccroelofbothapostsubscrib - 1
hereapnpther - 1
broadcast - 2
discuss - 7
anyon - 2
want - 2
play - 5
watch - 1
without - 1
particip - 5
qampapnpy - 1
find - 3
jumppnh2schedul - 1
detailsh2nulnliadd - 1
directli - 2
calendar - 1
hrefhttpevttouhsigeswthi - 1
linkadiv - 1
classextracrunchoffercontainerdivprotectedfalseexcerptrenderedpsequoia8217 - 1
impressiveit - 1
hellippnprotectedfalseauthor24273062featured_media1380818comment_statusopenping_statusclosedstickyfalsetemplateformatstandardmetaoutcomestatuscrunchbase_tag0amp_statusrelegenceentitiesrelegencesubjectscategories576754165576737633204291739635394854tags5767572595438131245607crunchbase_tag270121999tc_stories_taxtc_eventjetpack_featured_media_urlhttpstechcrunchcomwpcontentuploads201609roelofbothajpgshortlinkhttpstcrnch3b6kevfrapiddataptpctfeaturedfalsesubtitlefundingroundfalseseotitleseodescriptionpremiumcontenttruepremiumcutoffpercent097tc_cb_mappingslugroelofbothacb_nameroelof - 1
bothacb_slugroelofbothapersoncb_linkhttpscrunchbasecompersonroelofbothaslugsequoiacapitalcb_namesequoia - 1
capitalcb_slugsequoiacapitalorganizationcb_linkhttpscrunchbasecomorganizationsequoiacapitalassociatedeventnulleventnullauthors24273062hidefeaturedimagefalse_linksselfhrefhttpstechcrunchcomwpjsonwpv2posts1984549collectionhrefhttpstechcrunchcomwpjsonwpv2postsabouthrefhttpstechcrunchcomwpjsonwpv2typespostrepliesembeddabletruehrefhttpstechcrunchcomwpjsonwpv2commentspost1984549versionhistorycount10hrefhttpstechcrunchcomwpjsonwpv2posts1984549revisionspredecessorversionid1984600hrefhttpstechcrunchcomwpjsonwpv2posts1984549revisions1984600authorsembeddabletruehrefhttpstechcrunchcomwpjsontcv1users24273062httpstechcrunchcomedithrefhttpstechcrunchcomwpadminpostphppost1984549actioneditauthorembeddabletruehrefhttpstechcrunchcomwpjsontcv1users24273062wpfeaturedmediaembeddabletruehrefhttpstechcrunchcomwpjsonwpv2media1380818wpattachmenthrefhttpstechcrunchcomwpjsonwpv2mediaparent1984549wptermtaxonomycategoryembeddabletruehrefhttpstechcrunchcomwpjsonwpv2categoriespost1984549taxonomypost_tagembeddabletruehrefhttpstechcrunchcomwpjsonwpv2tagspost1984549taxonomy_tc_cb_tag_taxonomyembeddabletruehrefhttpstechcrunchcomwpjsonwpv2crunchbase_tagpost1984549taxonomytc_stories_taxembeddabletruehrefhttpstechcrunchcomwpjsonwpv2tc_stories_taxpost1984549taxonomytc_eventembeddabletruehrefhttpstechcrunchcomwpjsonwpv2tc_eventpost1984549curiesnamewphrefhttpsapiworgreltemplatedtrue_embeddedauthorsid24273062namejordan - 1
crookurldescriptionlinkhttpstechcrunchcomauthorjordancrookslugjordancrookavatar_urls24httpssecuregravatarcomavatar3311dfd2a72b8ea26707777a79acda77s24didenticonrg48httpssecuregravatarcomavatar3311dfd2a72b8ea26707777a79acda77s48didenticonrg96httpssecuregravatarcomavatar3311dfd2a72b8ea26707777a79acda77s96didenticonrglinkshomepagehttptechcrunchcomtwitterhttpstwittercomjordanrcrookcrunchbasehttpswwwcrunchbasecompersonjordancrookpositionmanag - 2
editorcbdescriptionpjordan - 2
crook - 2
manag - 8
editor - 25
base - 7
brooklyn - 2
nysh - 2
write - 6
internet - 3
cultur - 2
social - 7
network - 16
consumerfac - 2
technologyjordan - 2
program - 8
flagship - 2
event - 6
worldrenown - 2
conferencey - 2
recogn - 2
appear - 6
host - 4
moder - 2
panel - 2
firesid - 2
chatspnnpsh - 2
written - 2
public - 8
mobil - 7
market - 7
mobileburnpnnpsh - 2
techcrunchpnnpy - 2
email - 6
jordantechcrunchcompcbavatarhttpscrunchbaseproductionrescloudinarycomimageuploadv1422640116mynkwzunjxxe344gszq1jpgtwitterjordanrcrook_linksselfhrefhttpstechcrunchcomwpjsontcv1users24273062collectionhrefhttpstechcrunchcomwpjsontcv1usersauthorid24273062namejordan - 1
